Word,Definition
Glance,"""To move quickly  appearing and disappearing rapidly; to be visible only for an instant at a time; to move interruptedly; to twinkle."""
Glance,"""To shoot or dart suddenly or obliquely; to cast for a moment; as  to glance the eye."""
Glance,"""To hint at; to touch lightly or briefly."""
Exarticulate,"""Having but one joint; -- said of certain insects."""
purdy,pretty
Gradualness,"""The quality or state of being gradual; regular progression or gradation; slowness."""
undertide,a current below the surface of a fluid
Gapeseed,"""Any strange sight."""
dark_comedy,a comedy characterized by grim or satiric humor; a comedy having gloomy or disturbing elements
Splinted,"""of Splint"""
combined_operation,"a military operation carried out cooperatively by two or more allied nations or a military operation carried out by coordination of sea, land, and air forces"
coproduct,a product produced together with another product
coproduct,any of multiple products that are produced at the same time or by the same process
Subendymal,"""Situated under the endyma."""
come_around,happen regularly
quaternate,consisting of or especially arranged in sets of four
Making,"""of Make"""
Making,"""The act of one who makes; workmanship; fabrication; construction; as  this is cloth of your own making; the making of peace or war was in his power."""
Making,"""Composition  or structure."""
Making,"""a poem."""
Making,"""That which establishes or places in a desirable state or condition; the material of which something may be made; as  early misfortune was the making of him."""
Making,"""External appearance; from."""
Gilman,United States feminist (1860-1935)
Polygastrica,"""The Infusoria."""
Strait,"""A variant of Straight."""
Strait,"""Narrow; not broad."""
Strait,"""Tight; close; closely fitting."""
Strait,"""Close; intimate; near; familiar."""
Strait,"""Strict; scrupulous; rigorous."""
Strait,"""Difficult; distressful; straited."""
Strait,"""Parsimonious; niggargly; mean."""
Strait,"""Strictly; rigorously."""
Strait,"""A narrow pass or passage."""
Strait,"""A (comparatively) narrow passageway connecting two large bodies of water; -- often in the plural; as  the strait or straits of Gibraltar; the straits of Magellan; the strait or straits of Mackinaw."""
Strait,"""A neck of land; an isthmus."""
Strait,"""Fig.: A condition of narrowness or restriction; doubt; distress; difficulty; poverty; perplexity; -- sometimes in the plural; as  reduced to great straits."""
Strait,"""To put to difficulties."""
harnessing,the gear or tackle other than a yoke with which a draft animal pulls a vehicle or implement
harnessing,something resembling such gear or tackle as the arrangement of straps used to hold a parachute to the body
harnessing,a device that raises and lowers the warp threads on a loom
harnessing,archaic armor for a man or horse
harnessing,to put a harness on a draft animal
harnessing,to fasten by the use of a harness
harnessing,to bring under control and direct the force of if you can harness your energy you will accomplish a great deal
harnessing,in harness on duty or at work
harnessing,a restraint or support especially one consisting of a loop or network of rope or straps
harnessing,a collection of wires or cables bundled and routed according to their function
harnessing,to place a harness on something to tie up or restrain
harnessing,to capture control or put to use
harnessing,originally the complete dress especially in a military sense of a man or a horse hence in general armor
harnessing,the equipment of a draught or carriage horse for drawing a wagon coach chaise etc gear tackling
harnessing,the part of a loom comprising the heddles with their means of support and motion by which the threads of the warp are alternately raised and depressed for the passage of the shuttle
harnessing,to dress in armor to equip with armor for war as a horseman to array
harnessing,fig to equip or furnish for defense
harnessing,to make ready for draught to equip with harness as a horse
harnessing,also used figuratively
harnessing,to dress in armor equip with armor for war as a man or horse
harnessing,to fit out equip dress
harnessing,to equip or furnish for defense
harnessing,to put harness or working tackle on as a horse
harnessing,to fit up or put together with metal mountings
harnessing,to fasten to a boat by the toggle iron and tow line as a whale
harnessing,the defensive armor and weapons of a soldier especially of a knight in general and especially in modern poetical use a suit of armor
harnessing,clothing dress garments
harnessing,the working gear or tackle of a horse mule ass goat dog or other animal except the ox used for draft the straps collar bridle lines traces etc put upon a draft animal to enable it to work and to guide its actions
harnessing,see cut in next column
harnessing,hence figuratively working tackle of any kind an equipment for any kind of labor also that which fits or makes ready for labor as his duties keep him constantly in the harness
harnessing,the apparatus in a loom by which the sets of warp threads are shifted alternately to form the shed
harnessing,it consists of the heddles and their means of support and motion
harnessing,also called mounting
harnessing,the mechanism by which a large bell is suspended and tolled
harnessing,temper humor alluding to the behavior of a horse in harness
harnessing,nautical an obsolete term for the furniture of a ship
harnessing,exploit the power of
harnessing,put a harness
harnessing,stable gear consisting of an arrangement of leather straps fitted to a draft animal so that it can be attached to and pull a cart
harnessing,control and direct with or as if by reins
harnessing,a support consisting of an arrangement of straps for holding something to the body especially one supporting a person suspended from a parachute
harnessing,keep in check
sandfly,any of various small flies of the genera lutzomyia and phlebotomus whose females suck the blood of vertebrates and thus spread leishmaniasis
sandfly,any of various small dipterous flies bloodsucking females can transmit sandfly fever and leishmaniasis
sandfly,any of various small dipterous flies; bloodsucking females can transmit sandfly fever and leishmaniasis
base_hit,(baseball) the successful act of striking a baseball in such a way that the batter reaches base safely
Twelvemo,"""See Duodecimo."""
flexuous,having turns or windings
Profile,"""An outline  or contour; as the profile of an apple."""
Profile,"""A human head represented sidewise  or in a side view; the side face or half face."""
Profile,"""A section of any member  made at right angles with its main lines showing the exact shape of moldings and the like."""
Profile,"""A drawing exhibiting a vertical section of the ground along a surveyed line  or graded work as of a railway showing elevations depressions grades etc."""
Profile,"""to draw the outline of; to draw in profile  as an architectural member."""
Profile,"""To shape the outline of an object by passing a cutter around it."""
Gurl,"""A young person of either sex. [Obs.] See Girl."""
Spatting,"""of Spat"""
point_out,point out carefully and clearly
concerto,a composition for an orchestra and one or more solo instruments typically in three movements
concerto,a piece of music for one or more solo instruments and orchestra
concerto,a composition usually in symphonic form with three movements in which one instrument or two or three stands out in bold relief against the orchestra or accompaniment so as to display its qualities or the performer s skill
concerto,in music a concert
concerto,same as concertante
concerto,a composition for two or more solo instruments of the same or of a different kind as bach s concerto for four pianos handel s concerti grossi for two violins and violoncello soli with accompaniment for a stringed orchestra
concerto,such concertos are called double triple etc according to the number of solo instruments
concerto,a composition usually in symphonic form written for one principal instrument occasionally for more than one with accompaniment for a large or small orchestra and intended to display the ability of a solo performer
concerto,a composition for orchestra and a soloist
concerto,a concerto is a piece of music made for a solo instrument and an orchestra
concerto,when an orchestra plays at a concert they might play a symphony lrb a piece for orchestra rrb and they might play a concerto lrb with a soloist rrb
concerto,if the solo instrument is a violin the piece is called a violin if it is a piano it is called a piano etc
concerto,the orchestra accompanies the soloist
concerto,this means that it is the soloist who decides how fast or slow to play
concerto,the conductor should listen to the way the soloist wants to play and make the orchestra accompany sensitively
concerto,a composition for orchestra and a soloist
inoculator,a medical practitioner who inoculates people against diseases
Ecuadorian,of or relating to or characteristic of Ecuador or its people
Millefiore glass,"""Slender rods or tubes of colored glass fused together and embedded in clear glass; -- used for paperweights and other small articles."""
Thomas_Hunt_Morgan,United States biologist who formulated the chromosome theory of heredity (1866-1945)
storer,a young tree especially one reserved when others are cut a standel
storer,one who lays up or forms a store
storer,one who lays up or forms a store
storer,one who lays up or accumulates a store
Stenciler,"""One who paints or colors in figures by means of stencil."""
ds,the symbol for the element darmstadtium
ds,symbol for darmstadtium
ds,an abbreviation of days sights common in commercial writings as a bill payable at d s
ds,that is ten days after sight
ds,an abbreviation of distinguished service order
ds,an abbreviation of discharged to sick quarters
ds,a radioactive transuranic element
ds,the bureau in the state department that is responsible for the security of diplomats and embassies overseas
ds,an honorary degree in science
ds,the symbol for the element darmstadtium
ds,symbol for darmstadtium
ds,an abbreviation of days sights common in commercial writings as a bill payable at d s
ds,that is ten days after sight
ds,an abbreviation of distinguished service order
ds,an abbreviation of discharged to sick quarters
ds,a radioactive transuranic element
ds,the bureau in the state department that is responsible for the security of diplomats and embassies overseas
ds,an honorary degree in science
Paraclete,"""An advocate; one called to aid or support; hence  the Consoler Comforter or Intercessor; -- a term applied to the Holy Spirit."""
Paraclete,the third person in the Trinity; Jesus promised the Apostles that he would send the Holy Spirit after his Crucifixion and Resurrection; it came on Pentecost
Wall,"""A kind of knot often used at the end of a rope; a wall knot; a wale."""
Wall,"""A work or structure of stone  brick or other materials raised to some height and intended for defense or security solid and permanent inclosing fence as around a field a park a town etc. also one of the upright inclosing parts of a building or a room."""
Wall,"""A defense; a rampart; a means of protection; in the plural  fortifications in general; works for defense."""
Wall,"""An inclosing part of a receptacle or vessel; as  the walls of a steam-engine cylinder."""
Wall,"""The side of a level or drift."""
Wall,"""The country rock bounding a vein laterally."""
Wall,"""To inclose with a wall  or as with a wall."""
Wall,"""To defend by walls  or as if by walls; to fortify."""
Wall,"""To close or fill with a wall  as a doorway."""
Zymology,"""A treatise on the fermentation of liquors  or the doctrine of fermentation."""
undimmed,not dimmed
undimmed,not made dim or less bright
undimmed,not made dim or less bright
Darting,"""of Dart"""
Inflective,"""Capable of  or pertaining to inflection; deflecting; as the inflective quality of the air."""
Inflective,"""Inflectional; characterized by variation  or change in form to mark case tense etc.; subject to inflection."""
order_Naiadales,an order of aquatic monocotyledonous herbaceous plants
Noctambulism,"""Somnambulism."""
acaracide,a chemical agent used to kill mites
Epidendrum_tampense,orchid of Florida and the Bahamas having showy brightly colored flowers; sometimes placed in genus Epidendrum
Toy,"""A plaything for children; a bawble."""
Toy,"""A thing for amusement  but of no real value; an article of trade of little value; a trifle."""
Toy,"""A wild fancy; an odd conceit; idle sport; folly; trifling opinion."""
Toy,"""Amorous dalliance; play; sport; pastime."""
Toy,"""An old story; a silly tale."""
Toy,"""A headdress of linen or woolen  that hangs down over the shoulders worn by old women of the lower classes; -- called also toy mutch."""
Toy,"""To dally amorously; to trifle; to play."""
Toy,"""To treat foolishly."""
unlicenced,lacking official approval
Masking,"""of Mask"""
Launderer,"""One who follows the business of laundering."""
Inobservance,"""Want or neglect of observance."""
Cosmically,"""With the sun at rising or setting; as  a star is said to rise or set cosmically when it rises or sets with the sun."""
Cosmically,"""Universally."""
Filching,"""of Filch"""
Panax_ginseng,Chinese herb with palmately compound leaves and small greenish flowers and forked aromatic roots believed to have medicinal powers
crenelle,a notch or open space between two merlons in a crenelated battlement
pandean_pipe,a primitive wind instrument consisting of several parallel pipes bound together
Widely,"""In a wide manner; to a wide degree or extent; far; extensively; as  the gospel was widely disseminated by the apostles."""
Widely,"""Very much; to a great degree or extent; as  to differ widely in opinion."""
Shikaree,"""Alt. of Shikari"""
Something,"""Anything unknown  undetermined or not specifically designated; a certain indefinite thing; an indeterminate or unknown event; an unspecified task work or thing."""
Something,"""A part; a portion  more or less; an indefinite quantity or degree; a little."""
Something,"""A person or thing importance."""
Something,"""In some degree; somewhat; to some extent; at some distance."""
Choragi,"""of Choragus"""
Rolled,"""of Roll"""
noggin,a small mug or cup
noggin,a unit of liquid measure equal to one quarter of a pint
noggin,slang the human head
noggin,a small mug cup or ladle
noggin,a measure equivalent to a gill
noggin,also possibly linked to the phrase naggin of vodka a small bottle of vodka
noggin,the head
noggin,a small mug or cup
noggin,a measure equivalent to a gill
noggin,the head of a person
noggin,a vessel of wood also a mug or similar vessel of any material
noggin,the contents of such a vessel a small amount of liquor as much as might suffice for one person
noggin,one end of a keg that has been sawn into halves used for various purposes on shipboard
noggin,the head the noddle
noggin,informal terms for a human head
noggin,informal terms for a human head
Lamenting,"""of Lament"""
Lamenting,"""Lamentation."""
fire_ant,omnivorous ant of tropical and subtropical America that can inflict a painful sting
Overshadowy,"""Overshadowing."""
Tinamides,"""A division of struthious birds  including the tinamous."""
Torrefied,"""of Torrefy"""
orangish,relatively orange in colour
orangish,similar to an orange
orangish,of the color between red and yellow similar to the color of a ripe orange
orangish,of the color between red and yellow; similar to the color of a ripe orange
Adenalgia,"""Alt. of Adenalgy"""
Etherizing,"""of Etherize"""
midazolam,an injectable form of benzodiazepine (trade name Versed) useful for sedation and for reducing pain during uncomfortable medical procedures
harassment,persistent attacks and criticism causing worry and distress
harassment,deliberate pestering or annoying
harassment,the act of harassing or state of being harassed worry annoyance anxiety
harassment,the act of harassing or the state of being harassed vexation that which harasses or vexes
harassment,the act of tormenting by continued persistent attacks and criticism
harassment,a feeling of intense annoyance caused by being tormented
harassment,the act of tormenting by continued persistent attacks and criticism
wild_water_lemon,tropical American passion flower with finely dissected bracts; stems malodorous when crushed
Macroural,"""Same as Macrura  Macrural etc."""
genus_Lophius,type genus of family Lophiidae
Theobid,a colorless crystalline alkaloid derived from tea leaves or made synthetically; used in medicine as a bronchial dilator
Seerwood,"""Dry wood."""
turnspit,a roasting spit that can be turned
Neo-Latin,"""Applied to the Romance languages  as being mostly of Latin origin."""
Neo-Latin,Latin since the Renaissance; used for scientific nomenclature
graciousness,the quality of being kind and gentle
Doled,"""of Dole"""
field_guide,a guidebook describing natural objects of some type that might be encountered in the field
Undecisive,"""Indecisive."""
Pteridospermaphyta,used in some classification systems: a group of extinct fossil gymnosperms coextensive with the order Cycadofilicales
Feathering,"""Same as Foliation."""
Feathering,"""The act of turning the blade of the oar  as it rises from the water in rowing from a vertical to a horizontal position. See To feather an oar under Feather v. t."""
Feathering,"""A covering of feathers."""
naval_unit,a military unit that is part of a navy
pudding_pipe_tree,deciduous or semi-evergreen tree having scented sepia to yellow flowers in drooping racemes and pods whose pulp is used medicinally; tropical Asia and Central and South America and Australia
Tolerate,"""To suffer to be  or to be done without prohibition or hindrance; to allow or permit negatively by not preventing; not to restrain; to put up with; as to tolerate doubtful practices."""
goose_down,down of the goose
Toed,"""of Toe"""
Toed,"""Having (such or so many) toes; -- chiefly used in composition; as  narrow-toed four-toed."""
Toed,"""Having the end secured by nails driven obliquely  said of a board plank or joist serving as a brace and in general of any part of a frame secured to other parts by diagonal nailing."""
redolent,having or emitting fragrance aromatic
redolent,suggestive reminiscent a campaign redolent of machine politics
redolent,fragrant or aromatic having a sweet scent
redolent,having the smell of the article in question
redolent,suggestive or reminiscent
redolent,diffusing odor or fragrance spreading sweet scent scented odorous smelling usually followed by of
redolent,having or diffusing a sweet scent giving out an odor odorous smelling fragrant often with of
redolent,serving to bring to mind
redolent,having a strong pleasant odor
redolent,used with of or with noticeably odorous
redolent,having a strong pleasant odor; - Jean Stafford
determinateness,the quality of being predictable with great confidence
Paradisiacal,"""Of or pertaining to paradise; suitable to  or like paradise."""
vertical_combination,absorption into a single firm of several firms involved in all aspects of a product's manufacture from raw materials to distribution
paperboy,a boy who sells or delivers newspapers
paperboy,a male who delivers newspapers to houses on a paper round
paperboy,a boy who sells or delivers newspapers
paperboy,a boy who sells or delivers newspapers
paperboy,a boy who sells or delivers newspapers
Punishing,"""of Punish"""
Protense,"""Extension."""
Alogy,"""Unreasonableness; absurdity."""
square_inch,a unit of area equal to one inch by one inch square
leatherneck,slang a member of the u s
leatherneck,a member of the united states marines so called because of a distinctive high leather collar of certain uniforms they formerly wore
leatherneck,the sordid friar bird of australia tropidorhynchus sordidus
leatherneck,a member of the united states marine corps a united states marine
leatherneck,a marine
leatherneck,a member of the united states marine corps
leatherneck,a member of the United States Marine Corps
anaphylactic_shock,a severe and rapid and sometimes fatal hypersensitivity reaction to a substance (especially a vaccine or penicillin or shellfish or insect venom) to which the organism has become sensitized by previous exposure
progressive_aspect,the aspect of a verb that expresses its on-going action
whinberry,erect European blueberry having solitary flowers and blue-black berries
defaulter,one who fails to fulfill an obligation or perform a task especially a legal or financial one
defaulter,one who makes default one who fails to appear in court when court when called
defaulter,one who fails to perform a duty a delinquent particularly one who fails to account for public money intrusted to his care a peculator a defalcator
defaulter,one who makes default one who fails to fulfil an obligation or a duty of any kind especially one who fails to appear in court when required or to pay a debt when due or to make proper returns of funds intrusted to his care
defaulter,in the british service a soldier accused of a military offense
defaulter,a contestant who forfeits a match
defaulter,someone who fails to make a required appearance in court
defaulter,someone who fails to meet a financial obligation
defaulter,a contestant who forfeits a match
Galop,"""A kind of lively dance  in 2-4 time; also the music to the dance."""
Grape fruit,"""The shaddock."""
crucifer,one who bears a cross in a religious procession
crucifer,botany any of various plants in the mustard family cruciferae or brassicaceae which includes the alyssum candytuft cabbage radish broccoli and many weeds
crucifer,a person who carries a cross in a religious procession
crucifer,a member of the family cruciferae the cabbage family including cabbage and mustard
crucifer,any plant of the family cruciferæ
crucifer,a cross bearer specifically one who carries a large cross in ecclesiastical processions
crucifer,in botany a plant of the order cruciferæ
crucifer,any of various plants of the family cruciferae
crucifer,any of various plants of the family Cruciferae
pitching_wedge,a wedge used to loft the golf ball over obstacles
metahuman,superhuman
Quietly,"""In a quiet state or manner; without motion; in a state of rest; as  to lie or sit quietly."""
Quietly,"""Without tumult  alarm dispute or disturbance; peaceably; as to live quietly; to sleep quietly."""
Quietly,"""Calmly  without agitation or violent emotion; patiently; as to submit quietly to unavoidable evils."""
Quietly,"""Noiselessly; silently; without remark or violent movement; in a manner to attract little or no observation; as  he quietly left the room."""
Neutrally,"""In a neutral manner; without taking part with either side; indifferently."""
memoranda,a written proposal or reminder
armless,having no arms
Juan_Ponce_de_Leon,Spanish explorer who accompanied Columbus on his second trip in 1493; in 1513 he discovered Florida while searching for the legendary Fountain of Youth (1460-1521)
Lithuania,a republic in northeastern Europe on the Baltic Sea
moroccan,a person from morocco or of moroccan descent
moroccan,of from or pertaining to morocco or the moroccan people
moroccan,of or pertaining to morocco or its inhabitants
moroccan,of or pertaining to morocco a sultanate in northwestern africa lying west of algeria or its inhabitants
moroccan,of or relating to or characteristic of morocco or its people
moroccan,a native or inhabitant of morocco
moroccan,a person from morocco or of moroccan descent
moroccan,of from or pertaining to morocco or the moroccan people
moroccan,of or pertaining to morocco or its inhabitants
moroccan,of or pertaining to morocco a sultanate in northwestern africa lying west of algeria or its inhabitants
moroccan,of or relating to or characteristic of morocco or its people
moroccan,a native or inhabitant of morocco
Emotional,"""Pertaining to  or characterized by emotion; excitable; easily moved; sensational; as an emotional nature."""
worriedly,in a worried manner
deuteranopia,dichromacy characterized by a lowered sensitivity to green light resulting in an inability to distinguish green and purplish-red
Corkage,"""The charge made by innkeepers for drawing the cork and taking care of bottles of wine bought elsewhere by a guest."""
Spanish_bayonet,a stiff yucca with a short trunk; found in the southern United States and tropical America; has rigid spine-tipped leaves and clusters of white flowers
catamenia,the monthly discharge of blood from the uterus of nonpregnant women from puberty to menopause; ; --Hippocrates; --Aristotle
observable,possible to observe observable phenomena an observable change in demeanor
observable,see synonyms at noticeable
observable,deserving or worthy of note noteworthy an observable anniversary
observable,a physical property such as weight or temperature that can be observed or measured directly as distinguished from a quantity such as work or entropy that must be derived from observed quantities
observable,able to be observed
observable,deserving to be observed
observable,any physical property that can be observed and measured directly and not derived from other properties
observable,capable of being observed discernible noticeable
observable,worthy of being observed important enough to be noted or celebrated
observable,noteworthy remarkable
observable,capable of being observed or noticed or viewed with interest or attention
observable,noticeable worthy of observation noteworthy hence remarkable
observable,that may or must be observed followed or kept as the formalities observable at court
observable,a noticeable or noteworthy fact or thing something worth observing
observable,capable of being seen or noticed
observable,capable of being seen or noticed
Imprudent,"""Not prudent; wanting in prudence or discretion; indiscreet; injudicious; not attentive to consequence; improper."""
stereotypically,in a stereotypical manner
Saunterer,"""One who saunters."""
medieval_mode,any of a system of modes used in Gregorian chants up until 1600; derived historically from the Greek mode
bungee_cord,an elasticized rope
hypochromic_anaemia,anemia characterized by a decrease in the concentration of corpuscular hemoglobin
coarctate,(of an insect pupa) enclosed in a rigid case
Empark,"""To make a park of; to inclose  as with a fence; to impark."""
Electrolyzable,"""Capable of being electrolyzed  or decomposed by electricity."""
Vitiously,"""Alt. of Vitiousness"""
Infantry,"""A body of children."""
Infantry,"""A body of soldiers serving on foot; foot soldiers  in distinction from cavalry."""
Pandora,"""A beautiful woman (all-gifted)  whom Jupiter caused Vulcan to make out of clay in order to punish the human race because Prometheus had stolen the fire from heaven. Jupiter gave Pandora a box containing all human ills which when the box was opened escaped and spread over the earth. Hope alone remained in the box. Another version makes the box contain all the blessings of the gods which were lost to men when Pandora opened it."""
Pandora,"""A genus of marine bivalves  in which one valve is flat the other convex."""
Pandora,(Greek mythology) the first woman; created by Hephaestus on orders from Zeus who presented her to Epimetheus along with a box filled with evils
assessee,a person (or property) that is assessed
Anthem,"""Formerly  a hymn sung in alternate parts in present usage a selection from the Psalms or other parts of the Scriptures or the liturgy set to sacred music."""
Anthem,"""A song or hymn of praise."""
Anthem,"""To celebrate with anthems."""
Papaverous,"""Of or pertaining to the poppy; of the nature of the poppy."""
Irresistless,"""Irresistible."""
Hyphantria_cunea,moth whose larvae are fall webworms
Semilenticular,"""Half lenticular or convex; imperfectly resembling a lens."""
sandpapery,having the abrasive texture of sandpaper
uncheck,to remove a checkmark
sugar_beet,white-rooted beet grown as a source of sugar
disability_insurance,social insurance for the disabled
Beslabber,"""To beslobber."""
Ton,"""pl. of Toe."""
Ton,"""The common tunny  or house mackerel."""
Ton,"""The prevailing fashion or mode; vogue; as  things of ton."""
Ton,"""A measure of weight or quantity."""
Ton,"""The weight of twenty hundredweight."""
Ton,"""Forty cubic feet of space  being the unit of measurement of the burden or carrying capacity of a vessel; as a vessel of 300 tons burden."""
Ton,"""A certain weight or quantity of merchandise  with reference to transportation as freight; as six hundred weight of ship bread in casks seven hundred weight in bags eight hundred weight in bulk; ten bushels of potatoes; eight sacks or ten barrels of flour; forty cubic feet of rough or fifty cubic feet of hewn timber etc."""
yacht,an expensive vessel propelled by sail or power and used for cruising or racing
Cheered,"""of Cheer"""
magnetic_recorder,recorder consisting of equipment for making records on magnetic media
unmelodiously,in an unmelodious manner
subfamily_Mephitinae,subdivision not used in some classifications: skunks
Stately,"""Evincing state or dignity; lofty; majestic; grand; as  statelymanners; a stately gait."""
Stately,"""Majestically; loftily."""
Acer_saccharinum,a common North American maple tree; five-lobed leaves are light green above and silvery white beneath; source of hard close-grained but brittle light-brown wood
doggerel,crudely or irregularly fashioned verse often of a humorous or burlesque nature
doggerel,of a crude or irregular construction
doggerel,originally applied to humorous verse but now to verse lacking artistry or meaning
doggerel,a comic or humorous verse usually irregular in measure
doggerel,a doggerel poem or verse
doggerel,low in style and irregular in measure
doggerel,a sort of loose or irregular verse mean or undignified poetry
doggerel,an epithet originally given to a kind of loose irregular measure in burlesque poetry like that of hudibras but now more generally applied to mean verses defective alike in sense and in rhythm
doggerel,burlesque poetry generally in irregular measure
doggerel,mean paltry verses defective in sense and in rhythm
doggerel,a comic verse of irregular measure
doggerel,a comic verse of irregular measure
batt,pieces of fabric used for stuffing batting
batt,pieces of fabric or fibre used for stuffing as for batting or insulation
batt,an obsolete spelling of bat still occasionally used in some senses
batt,pieces of fabric used for stuffing batting
batt,pieces of fabric or fibre used for stuffing as for batting or insulation
batt,an obsolete spelling of bat still occasionally used in some senses
catholicism,the faith doctrine system and practice of a catholic church especially the roman catholic church
catholicism,the faiths practices and doctrines of a catholic church but especially of the roman catholic church
catholicism,the state or quality of being catholic or universal catholicity
catholicism,liberality of sentiment breadth of view
catholicism,the state or quality of being catholic or universal catholicity
catholicism,liberality of sentiment breadth of view
catholicism,the faith of the whole orthodox christian church or adherence thereto
catholicism,the doctrines or faith of the roman catholic church or adherence thereto
catholicism,same as catholicity and
catholicism,adherence to the roman catholic church the roman catholic faith as a convert to catholicism
catholicism,the beliefs and practices of a catholic church
catholicism,catholicism often means the roman catholic church
catholicism,sometimes it also refers to the eastern orthodox churches or other churches that believe in the great lists of christian beliefs called creeds lrb from the latin word credo meaning i believe rrb such as the anglican church
catholicism,the word catholic means everywhere or universal lrb belief that the church is one big family rrb
catholicism,the faith doctrine system and practice of a catholic church especially the roman catholic church
catholicism,the faiths practices and doctrines of a catholic church but especially of the roman catholic church
catholicism,the state or quality of being catholic or universal catholicity
catholicism,liberality of sentiment breadth of view
catholicism,the state or quality of being catholic or universal catholicity
catholicism,liberality of sentiment breadth of view
catholicism,the faith of the whole orthodox christian church or adherence thereto
catholicism,the doctrines or faith of the roman catholic church or adherence thereto
catholicism,same as catholicity and
catholicism,adherence to the roman catholic church the roman catholic faith as a convert to catholicism
catholicism,the beliefs and practices of a catholic church
catholicism,catholicism often means the roman catholic church
catholicism,sometimes it also refers to the eastern orthodox churches or other churches that believe in the great lists of christian beliefs called creeds lrb from the latin word credo meaning i believe rrb such as the anglican church
catholicism,the word catholic means everywhere or universal lrb belief that the church is one big family rrb
phenylpropanolamine,an adrenergic drug that acts as a vasoconstrictor and is used as a nasal decongestant bronchodilator appetite suppressant and mild stimulant
phenylpropanolamine,an adrenergic drug use to relieve allergic reactions to treat respiratory infections and to suppress the appetite
phenylpropanolamine,an adrenergic drug used in many preparations to relieve allergic reactions or respiratory infections
phenylpropanolamine,an adrenergic drug used in many preparations to relieve allergic reactions or respiratory infections
euclidean,relating to geometry as developed by Euclid
Physiologically,"""In a physiological manner."""
frightened,to fill with fear alarm
frightened,to drive or force by arousing fear the suspect was frightened into confessing
frightened,to become afraid
frightened,to disturb with fear to throw into a state of alarm or fright to affright to terrify
frightened,to disturb with fear to throw into a state of alarm or fright to affright to terrify
frightened,to strike with fright terrify scare dismay
frightened,strong synonyms strong to affright dismay daunt appal intimidate
frightened,cause fear in
frightened,drive out by frightening
frightened,made afraid
outwear,exhaust or get tired through overuse or great strain or stress
false_dragon_head,North American plant having a spike of two-lipped pink or white flowers
Pentoic,"""Pertaining to  or desingating an acid (called also valeric acid) derived from pentane."""
low-lying,having a small elevation above the ground or horizon or sea level
Extruded,"""of Extrude"""
high_life,excessive spending
dance_lesson,a lesson in dancing
