,Word,Definition
548,glance, to twinkle.
549,glance,to shoot or dart suddenly or obliquely
549,glance, to cast for a moment
549,glance, as  to glance the eye.
550,glance,to hint at
550,glance, to touch lightly or briefly.
551,exarticulate,having but one joint
551,exarticulate, -- said of certain insects.
552,purdy,pretty
553,gradualness,the quality or state of being gradual
553,gradualness, regular progression or gradation
553,gradualness, slowness.
554,undertide,a current below the surface of a fluid
555,gapeseed,any strange sight.
557,splinted,of splint
559,coproduct,a product produced together with another product
560,coproduct,any of multiple products that are produced at the same time or by the same process
561,subendymal,situated under the endyma.
563,quaternate,consisting of or especially arranged in sets of four
564,making,of make
565,making,the act of one who makes
565,making, workmanship
565,making, fabrication
565,making, construction
565,making, as  this is cloth of your own making
565,making, the making of peace or war was in his power.
566,making,composition  or structure.
567,making,a poem.
568,making,that which establishes or places in a desirable state or condition
568,making, the material of which something may be made
568,making, as  early misfortune was the making of him.
569,making,external appearance
569,making, from.
570,gilman,united states feminist (1860-1935)
571,polygastrica,the infusoria.
572,strait,a variant of straight.
573,strait,narrow
573,strait, not broad.
574,strait,tight
574,strait, close
574,strait, closely fitting.
575,strait,close
575,strait, intimate
575,strait, near
575,strait, familiar.
576,strait,strict
576,strait, scrupulous
576,strait, rigorous.
577,strait,difficult
577,strait, distressful
577,strait, straited.
578,strait,parsimonious
578,strait, niggargly
578,strait, mean.
579,strait,strictly
579,strait, rigorously.
580,strait,a narrow pass or passage.
581,strait,a (comparatively) narrow passageway connecting two large bodies of water
581,strait, -- often in the plural
581,strait, as  the strait or straits of gibraltar
581,strait, the straits of magellan
581,strait, the strait or straits of mackinaw.
582,strait,a neck of land
582,strait, an isthmus.
583,strait,fig.: a condition of narrowness or restriction
583,strait, doubt
583,strait, distress
583,strait, difficulty
583,strait, poverty
583,strait, perplexity
583,strait, -- sometimes in the plural
583,strait, as  reduced to great straits.
584,strait,to put to difficulties.
585,harnessing,the gear or tackle other than a yoke with which a draft animal pulls a vehicle or implement
586,harnessing,something resembling such gear or tackle as the arrangement of straps used to hold a parachute to the body
587,harnessing,a device that raises and lowers the warp threads on a loom
588,harnessing,archaic armor for a man or horse
589,harnessing,to put a harness on a draft animal
590,harnessing,to fasten by the use of a harness
591,harnessing,to bring under control and direct the force of if you can harness your energy you will accomplish a great deal
592,harnessing,in harness on duty or at work
593,harnessing,a restraint or support especially one consisting of a loop or network of rope or straps
594,harnessing,a collection of wires or cables bundled and routed according to their function
595,harnessing,to place a harness on something to tie up or restrain
596,harnessing,to capture control or put to use
597,harnessing,originally the complete dress especially in a military sense of a man or a horse hence in general armor
598,harnessing,the equipment of a draught or carriage horse for drawing a wagon coach chaise etc gear tackling
599,harnessing,the part of a loom comprising the heddles with their means of support and motion by which the threads of the warp are alternately raised and depressed for the passage of the shuttle
600,harnessing,to dress in armor to equip with armor for war as a horseman to array
601,harnessing,fig to equip or furnish for defense
602,harnessing,to make ready for draught to equip with harness as a horse
603,harnessing,also used figuratively
604,harnessing,to dress in armor equip with armor for war as a man or horse
605,harnessing,to fit out equip dress
606,harnessing,to equip or furnish for defense
607,harnessing,to put harness or working tackle on as a horse
608,harnessing,to fit up or put together with metal mountings
609,harnessing,to fasten to a boat by the toggle iron and tow line as a whale
610,harnessing,the defensive armor and weapons of a soldier especially of a knight in general and especially in modern poetical use a suit of armor
611,harnessing,clothing dress garments
612,harnessing,the working gear or tackle of a horse mule ass goat dog or other animal except the ox used for draft the straps collar bridle lines traces etc put upon a draft animal to enable it to work and to guide its actions
613,harnessing,see cut in next column
614,harnessing,hence figuratively working tackle of any kind an equipment for any kind of labor also that which fits or makes ready for labor as his duties keep him constantly in the harness
615,harnessing,the apparatus in a loom by which the sets of warp threads are shifted alternately to form the shed
616,harnessing,it consists of the heddles and their means of support and motion
617,harnessing,also called mounting
618,harnessing,the mechanism by which a large bell is suspended and tolled
619,harnessing,temper humor alluding to the behavior of a horse in harness
620,harnessing,nautical an obsolete term for the furniture of a ship
621,harnessing,exploit the power of
622,harnessing,put a harness
623,harnessing,stable gear consisting of an arrangement of leather straps fitted to a draft animal so that it can be attached to and pull a cart
624,harnessing,control and direct with or as if by reins
625,harnessing,a support consisting of an arrangement of straps for holding something to the body especially one supporting a person suspended from a parachute
626,harnessing,keep in check
627,sandfly,any of various small flies of the genera lutzomyia and phlebotomus whose females suck the blood of vertebrates and thus spread leishmaniasis
628,sandfly,any of various small dipterous flies bloodsucking females can transmit sandfly fever and leishmaniasis
629,sandfly,any of various small dipterous flies
629,sandfly, bloodsucking females can transmit sandfly fever and leishmaniasis
631,twelvemo,see duodecimo.
632,flexuous,having turns or windings
633,profile,an outline  or contour
633,profile, as the profile of an apple.
634,profile,a human head represented sidewise  or in a side view
634,profile, the side face or half face.
635,profile,a section of any member  made at right angles with its main lines showing the exact shape of moldings and the like.
636,profile,a drawing exhibiting a vertical section of the ground along a surveyed line  or graded work as of a railway showing elevations depressions grades etc.
637,profile,to draw the outline of
637,profile, to draw in profile  as an architectural member.
638,profile,to shape the outline of an object by passing a cutter around it.
639,gurl,a young person of either sex. [obs.] see girl.
640,spatting,of spat
642,concerto,a composition for an orchestra and one or more solo instruments typically in three movements
643,concerto,a piece of music for one or more solo instruments and orchestra
644,concerto,a composition usually in symphonic form with three movements in which one instrument or two or three stands out in bold relief against the orchestra or accompaniment so as to display its qualities or the performer s skill
645,concerto,in music a concert
646,concerto,same as concertante
647,concerto,a composition for two or more solo instruments of the same or of a different kind as bach s concerto for four pianos handel s concerti grossi for two violins and violoncello soli with accompaniment for a stringed orchestra
648,concerto,such concertos are called double triple etc according to the number of solo instruments
649,concerto,a composition usually in symphonic form written for one principal instrument occasionally for more than one with accompaniment for a large or small orchestra and intended to display the ability of a solo performer
650,concerto,a composition for orchestra and a soloist
651,concerto,a concerto is a piece of music made for a solo instrument and an orchestra
652,concerto,when an orchestra plays at a concert they might play a symphony lrb a piece for orchestra rrb and they might play a concerto lrb with a soloist rrb
653,concerto,if the solo instrument is a violin the piece is called a violin if it is a piano it is called a piano etc
654,concerto,the orchestra accompanies the soloist
655,concerto,this means that it is the soloist who decides how fast or slow to play
656,concerto,the conductor should listen to the way the soloist wants to play and make the orchestra accompany sensitively
657,concerto,a composition for orchestra and a soloist
658,inoculator,a medical practitioner who inoculates people against diseases
659,ecuadorian,of or relating to or characteristic of ecuador or its people
660,millefiore glass,slender rods or tubes of colored glass fused together and embedded in clear glass
660,millefiore glass, -- used for paperweights and other small articles.
662,storer,a young tree especially one reserved when others are cut a standel
663,storer,one who lays up or forms a store
664,storer,one who lays up or forms a store
665,storer,one who lays up or accumulates a store
666,stenciler,one who paints or colors in figures by means of stencil.
667,ds,the symbol for the element darmstadtium
668,ds,symbol for darmstadtium
669,ds,an abbreviation of days sights common in commercial writings as a bill payable at d s
670,ds,that is ten days after sight
671,ds,an abbreviation of distinguished service order
672,ds,an abbreviation of discharged to sick quarters
673,ds,a radioactive transuranic element
674,ds,the bureau in the state department that is responsible for the security of diplomats and embassies overseas
675,ds,an honorary degree in science
676,ds,the symbol for the element darmstadtium
677,ds,symbol for darmstadtium
678,ds,an abbreviation of days sights common in commercial writings as a bill payable at d s
679,ds,that is ten days after sight
680,ds,an abbreviation of distinguished service order
681,ds,an abbreviation of discharged to sick quarters
682,ds,a radioactive transuranic element
683,ds,the bureau in the state department that is responsible for the security of diplomats and embassies overseas
684,ds,an honorary degree in science
685,paraclete,an advocate
685,paraclete, one called to aid or support
685,paraclete, hence  the consoler comforter or intercessor
685,paraclete, -- a term applied to the holy spirit.
686,paraclete,the third person in the trinity
686,paraclete, jesus promised the apostles that he would send the holy spirit after his crucifixion and resurrection
686,paraclete, it came on pentecost
687,wall,a kind of knot often used at the end of a rope
687,wall, a wall knot
687,wall, a wale.
688,wall,a work or structure of stone  brick or other materials raised to some height and intended for defense or security solid and permanent inclosing fence as around a field a park a town etc. also one of the upright inclosing parts of a building or a room.
689,wall,a defense
689,wall, a rampart
689,wall, a means of protection
689,wall, in the plural  fortifications in general
689,wall, works for defense.
690,wall,an inclosing part of a receptacle or vessel
690,wall, as  the walls of a steam-engine cylinder.
691,wall,the side of a level or drift.
692,wall,the country rock bounding a vein laterally.
693,wall,to inclose with a wall  or as with a wall.
694,wall,to defend by walls  or as if by walls
694,wall, to fortify.
695,wall,to close or fill with a wall  as a doorway.
696,zymology,a treatise on the fermentation of liquors  or the doctrine of fermentation.
697,undimmed,not dimmed
698,undimmed,not made dim or less bright
699,undimmed,not made dim or less bright
700,darting,of dart
701,inflective,capable of  or pertaining to inflection
701,inflective, deflecting
701,inflective, as the inflective quality of the air.
702,inflective,inflectional
702,inflective, characterized by variation  or change in form to mark case tense etc.
702,inflective, subject to inflection.
704,noctambulism,somnambulism.
705,acaracide,a chemical agent used to kill mites
707,toy,a plaything for children
707,toy, a bawble.
708,toy,a thing for amusement  but of no real value
708,toy, an article of trade of little value
708,toy, a trifle.
709,toy,a wild fancy
709,toy, an odd conceit
709,toy, idle sport
709,toy, folly
709,toy, trifling opinion.
710,toy,amorous dalliance
710,toy, play
710,toy, sport
710,toy, pastime.
711,toy,an old story
711,toy, a silly tale.
712,toy,a headdress of linen or woolen  that hangs down over the shoulders worn by old women of the lower classes
712,toy, -- called also toy mutch.
713,toy,to dally amorously
713,toy, to trifle
713,toy, to play.
714,toy,to treat foolishly.
715,unlicenced,lacking official approval
716,masking,of mask
717,launderer,one who follows the business of laundering.
718,inobservance,want or neglect of observance.
719,cosmically,with the sun at rising or setting
719,cosmically, as  a star is said to rise or set cosmically when it rises or sets with the sun.
720,cosmically,universally.
721,filching,of filch
723,crenelle,a notch or open space between two merlons in a crenelated battlement
725,widely,in a wide manner
725,widely, to a wide degree or extent
725,widely, far
725,widely, extensively
725,widely, as  the gospel was widely disseminated by the apostles.
726,widely,very much
726,widely, to a great degree or extent
726,widely, as  to differ widely in opinion.
727,shikaree,alt. of shikari
728,something,anything unknown  undetermined or not specifically designated
728,something, a certain indefinite thing
728,something, an indeterminate or unknown event
728,something, an unspecified task work or thing.
729,something,a part
729,something, a portion  more or less
729,something, an indefinite quantity or degree
729,something, a little.
730,something,a person or thing importance.
731,something,in some degree
731,something, somewhat
731,something, to some extent
731,something, at some distance.
732,choragi,of choragus
733,rolled,of roll
734,noggin,a small mug or cup
735,noggin,a unit of liquid measure equal to one quarter of a pint
736,noggin,slang the human head
737,noggin,a small mug cup or ladle
738,noggin,a measure equivalent to a gill
739,noggin,also possibly linked to the phrase naggin of vodka a small bottle of vodka
740,noggin,the head
741,noggin,a small mug or cup
742,noggin,a measure equivalent to a gill
743,noggin,the head of a person
744,noggin,a vessel of wood also a mug or similar vessel of any material
745,noggin,the contents of such a vessel a small amount of liquor as much as might suffice for one person
746,noggin,one end of a keg that has been sawn into halves used for various purposes on shipboard
747,noggin,the head the noddle
748,noggin,informal terms for a human head
749,noggin,informal terms for a human head
750,lamenting,of lament
751,lamenting,lamentation.
753,overshadowy,overshadowing.
754,tinamides,a division of struthious birds  including the tinamous.
755,torrefied,of torrefy
756,orangish,relatively orange in colour
757,orangish,similar to an orange
758,orangish,of the color between red and yellow similar to the color of a ripe orange
759,orangish,of the color between red and yellow
759,orangish, similar to the color of a ripe orange
760,adenalgia,alt. of adenalgy
761,etherizing,of etherize
762,midazolam,an injectable form of benzodiazepine (trade name versed) useful for sedation and for reducing pain during uncomfortable medical procedures
763,harassment,persistent attacks and criticism causing worry and distress
764,harassment,deliberate pestering or annoying
765,harassment,the act of harassing or state of being harassed worry annoyance anxiety
766,harassment,the act of harassing or the state of being harassed vexation that which harasses or vexes
767,harassment,the act of tormenting by continued persistent attacks and criticism
768,harassment,a feeling of intense annoyance caused by being tormented
769,harassment,the act of tormenting by continued persistent attacks and criticism
771,macroural,same as macrura  macrural etc.
773,theobid,a colorless crystalline alkaloid derived from tea leaves or made synthetically
773,theobid, used in medicine as a bronchial dilator
774,seerwood,dry wood.
775,turnspit,a roasting spit that can be turned
776,neo-latin,applied to the romance languages  as being mostly of latin origin.
777,neo-latin,latin since the renaissance
777,neo-latin, used for scientific nomenclature
778,graciousness,the quality of being kind and gentle
779,doled,of dole
781,undecisive,indecisive.
782,pteridospermaphyta,used in some classification systems: a group of extinct fossil gymnosperms coextensive with the order cycadofilicales
783,feathering,same as foliation.
784,feathering,the act of turning the blade of the oar  as it rises from the water in rowing from a vertical to a horizontal position. see to feather an oar under feather v. t.
785,feathering,a covering of feathers.
788,tolerate,to suffer to be  or to be done without prohibition or hindrance
788,tolerate, to allow or permit negatively by not preventing
788,tolerate, not to restrain
788,tolerate, to put up with
788,tolerate, as to tolerate doubtful practices.
790,toed,of toe
791,toed,having (such or so many) toes
791,toed, -- chiefly used in composition
791,toed, as  narrow-toed four-toed.
792,toed,having the end secured by nails driven obliquely  said of a board plank or joist serving as a brace and in general of any part of a frame secured to other parts by diagonal nailing.
793,redolent,having or emitting fragrance aromatic
794,redolent,suggestive reminiscent a campaign redolent of machine politics
795,redolent,fragrant or aromatic having a sweet scent
796,redolent,having the smell of the article in question
797,redolent,suggestive or reminiscent
798,redolent,diffusing odor or fragrance spreading sweet scent scented odorous smelling usually followed by of
799,redolent,having or diffusing a sweet scent giving out an odor odorous smelling fragrant often with of
800,redolent,serving to bring to mind
801,redolent,having a strong pleasant odor
802,redolent,used with of or with noticeably odorous
803,redolent,having a strong pleasant odor
803,redolent, - jean stafford
804,determinateness,the quality of being predictable with great confidence
805,paradisiacal,of or pertaining to paradise
805,paradisiacal, suitable to  or like paradise.
807,paperboy,a boy who sells or delivers newspapers
808,paperboy,a male who delivers newspapers to houses on a paper round
809,paperboy,a boy who sells or delivers newspapers
810,paperboy,a boy who sells or delivers newspapers
811,paperboy,a boy who sells or delivers newspapers
812,punishing,of punish
813,protense,extension.
814,alogy,unreasonableness
814,alogy, absurdity.
816,leatherneck,slang a member of the u s
817,leatherneck,a member of the united states marines so called because of a distinctive high leather collar of certain uniforms they formerly wore
818,leatherneck,the sordid friar bird of australia tropidorhynchus sordidus
819,leatherneck,a member of the united states marine corps a united states marine
820,leatherneck,a marine
821,leatherneck,a member of the united states marine corps
822,leatherneck,a member of the united states marine corps
825,whinberry,erect european blueberry having solitary flowers and blue-black berries
826,defaulter,one who fails to fulfill an obligation or perform a task especially a legal or financial one
827,defaulter,one who makes default one who fails to appear in court when court when called
828,defaulter,one who fails to perform a duty a delinquent particularly one who fails to account for public money intrusted to his care a peculator a defalcator
829,defaulter,one who makes default one who fails to fulfil an obligation or a duty of any kind especially one who fails to appear in court when required or to pay a debt when due or to make proper returns of funds intrusted to his care
830,defaulter,in the british service a soldier accused of a military offense
831,defaulter,a contestant who forfeits a match
832,defaulter,someone who fails to make a required appearance in court
833,defaulter,someone who fails to meet a financial obligation
834,defaulter,a contestant who forfeits a match
835,galop,a kind of lively dance  in 2-4 time
835,galop, also the music to the dance.
836,grape fruit,the shaddock.
837,crucifer,one who bears a cross in a religious procession
838,crucifer,botany any of various plants in the mustard family cruciferae or brassicaceae which includes the alyssum candytuft cabbage radish broccoli and many weeds
839,crucifer,a person who carries a cross in a religious procession
840,crucifer,a member of the family cruciferae the cabbage family including cabbage and mustard
841,crucifer,any plant of the family cruciferæ
842,crucifer,a cross bearer specifically one who carries a large cross in ecclesiastical processions
843,crucifer,in botany a plant of the order cruciferæ
844,crucifer,any of various plants of the family cruciferae
845,crucifer,any of various plants of the family cruciferae
847,metahuman,superhuman
848,quietly,in a quiet state or manner
848,quietly, without motion
848,quietly, in a state of rest
848,quietly, as  to lie or sit quietly.
849,quietly,without tumult  alarm dispute or disturbance
849,quietly, peaceably
849,quietly, as to live quietly
849,quietly, to sleep quietly.
850,quietly,calmly  without agitation or violent emotion
850,quietly, patiently
850,quietly, as to submit quietly to unavoidable evils.
851,quietly,noiselessly
851,quietly, silently
851,quietly, without remark or violent movement
851,quietly, in a manner to attract little or no observation
851,quietly, as  he quietly left the room.
852,neutrally,in a neutral manner
852,neutrally, without taking part with either side
852,neutrally, indifferently.
853,memoranda,a written proposal or reminder
854,armless,having no arms
856,lithuania,a republic in northeastern europe on the baltic sea
857,moroccan,a person from morocco or of moroccan descent
858,moroccan,of from or pertaining to morocco or the moroccan people
859,moroccan,of or pertaining to morocco or its inhabitants
860,moroccan,of or pertaining to morocco a sultanate in northwestern africa lying west of algeria or its inhabitants
861,moroccan,of or relating to or characteristic of morocco or its people
862,moroccan,a native or inhabitant of morocco
863,moroccan,a person from morocco or of moroccan descent
864,moroccan,of from or pertaining to morocco or the moroccan people
865,moroccan,of or pertaining to morocco or its inhabitants
866,moroccan,of or pertaining to morocco a sultanate in northwestern africa lying west of algeria or its inhabitants
867,moroccan,of or relating to or characteristic of morocco or its people
868,moroccan,a native or inhabitant of morocco
869,emotional,pertaining to  or characterized by emotion
869,emotional, excitable
869,emotional, easily moved
869,emotional, sensational
869,emotional, as an emotional nature.
870,worriedly,in a worried manner
871,deuteranopia,dichromacy characterized by a lowered sensitivity to green light resulting in an inability to distinguish green and purplish-red
872,corkage,the charge made by innkeepers for drawing the cork and taking care of bottles of wine bought elsewhere by a guest.
874,catamenia,the monthly discharge of blood from the uterus of nonpregnant women from puberty to menopause
874,catamenia, 
874,catamenia, --hippocrates
874,catamenia, --aristotle
875,observable,possible to observe observable phenomena an observable change in demeanor
876,observable,see synonyms at noticeable
877,observable,deserving or worthy of note noteworthy an observable anniversary
878,observable,a physical property such as weight or temperature that can be observed or measured directly as distinguished from a quantity such as work or entropy that must be derived from observed quantities
879,observable,able to be observed
880,observable,deserving to be observed
881,observable,any physical property that can be observed and measured directly and not derived from other properties
882,observable,capable of being observed discernible noticeable
883,observable,worthy of being observed important enough to be noted or celebrated
884,observable,noteworthy remarkable
885,observable,capable of being observed or noticed or viewed with interest or attention
886,observable,noticeable worthy of observation noteworthy hence remarkable
887,observable,that may or must be observed followed or kept as the formalities observable at court
888,observable,a noticeable or noteworthy fact or thing something worth observing
889,observable,capable of being seen or noticed
890,observable,capable of being seen or noticed
891,imprudent,not prudent
891,imprudent, wanting in prudence or discretion
891,imprudent, indiscreet
891,imprudent, injudicious
891,imprudent, not attentive to consequence
891,imprudent, improper.
892,stereotypically,in a stereotypical manner
893,saunterer,one who saunters.
897,coarctate,(of an insect pupa) enclosed in a rigid case
898,empark,to make a park of
898,empark, to inclose  as with a fence
898,empark, to impark.
899,electrolyzable,capable of being electrolyzed  or decomposed by electricity.
900,vitiously,alt. of vitiousness
901,infantry,a body of children.
902,infantry,a body of soldiers serving on foot
902,infantry, foot soldiers  in distinction from cavalry.
903,pandora,a beautiful woman (all-gifted)  whom jupiter caused vulcan to make out of clay in order to punish the human race because prometheus had stolen the fire from heaven. jupiter gave pandora a box containing all human ills which when the box was opened escaped and spread over the earth. hope alone remained in the box. another version makes the box contain all the blessings of the gods which were lost to men when pandora opened it.
904,pandora,a genus of marine bivalves  in which one valve is flat the other convex.
905,pandora,(greek mythology) the first woman
905,pandora, created by hephaestus on orders from zeus who presented her to epimetheus along with a box filled with evils
906,assessee,a person (or property) that is assessed
907,anthem,formerly  a hymn sung in alternate parts in present usage a selection from the psalms or other parts of the scriptures or the liturgy set to sacred music.
908,anthem,a song or hymn of praise.
909,anthem,to celebrate with anthems.
910,papaverous,of or pertaining to the poppy
910,papaverous, of the nature of the poppy.
911,irresistless,irresistible.
913,semilenticular,half lenticular or convex
913,semilenticular, imperfectly resembling a lens.
914,sandpapery,having the abrasive texture of sandpaper
915,uncheck,to remove a checkmark
918,beslabber,to beslobber.
919,ton,pl. of toe.
920,ton,the common tunny  or house mackerel.
921,ton,the prevailing fashion or mode
921,ton, vogue
921,ton, as  things of ton.
922,ton,a measure of weight or quantity.
923,ton,the weight of twenty hundredweight.
924,ton,forty cubic feet of space  being the unit of measurement of the burden or carrying capacity of a vessel
924,ton, as a vessel of 300 tons burden.
925,ton,a certain weight or quantity of merchandise  with reference to transportation as freight
925,ton, as six hundred weight of ship bread in casks seven hundred weight in bags eight hundred weight in bulk
925,ton, ten bushels of potatoes
925,ton, eight sacks or ten barrels of flour
925,ton, forty cubic feet of rough or fifty cubic feet of hewn timber etc.
926,yacht,an expensive vessel propelled by sail or power and used for cruising or racing
927,cheered,of cheer
929,unmelodiously,in an unmelodious manner
931,stately,evincing state or dignity
931,stately, lofty
931,stately, majestic
931,stately, grand
931,stately, as  statelymanners
931,stately, a stately gait.
932,stately,majestically
932,stately, loftily.
934,doggerel,crudely or irregularly fashioned verse often of a humorous or burlesque nature
935,doggerel,of a crude or irregular construction
936,doggerel,originally applied to humorous verse but now to verse lacking artistry or meaning
937,doggerel,a comic or humorous verse usually irregular in measure
938,doggerel,a doggerel poem or verse
939,doggerel,low in style and irregular in measure
940,doggerel,a sort of loose or irregular verse mean or undignified poetry
941,doggerel,an epithet originally given to a kind of loose irregular measure in burlesque poetry like that of hudibras but now more generally applied to mean verses defective alike in sense and in rhythm
942,doggerel,burlesque poetry generally in irregular measure
943,doggerel,mean paltry verses defective in sense and in rhythm
944,doggerel,a comic verse of irregular measure
945,doggerel,a comic verse of irregular measure
946,batt,pieces of fabric used for stuffing batting
947,batt,pieces of fabric or fibre used for stuffing as for batting or insulation
948,batt,an obsolete spelling of bat still occasionally used in some senses
949,batt,pieces of fabric used for stuffing batting
950,batt,pieces of fabric or fibre used for stuffing as for batting or insulation
951,batt,an obsolete spelling of bat still occasionally used in some senses
952,catholicism,the faith doctrine system and practice of a catholic church especially the roman catholic church
953,catholicism,the faiths practices and doctrines of a catholic church but especially of the roman catholic church
954,catholicism,the state or quality of being catholic or universal catholicity
955,catholicism,liberality of sentiment breadth of view
956,catholicism,the state or quality of being catholic or universal catholicity
957,catholicism,liberality of sentiment breadth of view
958,catholicism,the faith of the whole orthodox christian church or adherence thereto
959,catholicism,the doctrines or faith of the roman catholic church or adherence thereto
960,catholicism,same as catholicity and
961,catholicism,adherence to the roman catholic church the roman catholic faith as a convert to catholicism
962,catholicism,the beliefs and practices of a catholic church
963,catholicism,catholicism often means the roman catholic church
964,catholicism,sometimes it also refers to the eastern orthodox churches or other churches that believe in the great lists of christian beliefs called creeds lrb from the latin word credo meaning i believe rrb such as the anglican church
965,catholicism,the word catholic means everywhere or universal lrb belief that the church is one big family rrb
966,catholicism,the faith doctrine system and practice of a catholic church especially the roman catholic church
967,catholicism,the faiths practices and doctrines of a catholic church but especially of the roman catholic church
968,catholicism,the state or quality of being catholic or universal catholicity
969,catholicism,liberality of sentiment breadth of view
970,catholicism,the state or quality of being catholic or universal catholicity
971,catholicism,liberality of sentiment breadth of view
972,catholicism,the faith of the whole orthodox christian church or adherence thereto
973,catholicism,the doctrines or faith of the roman catholic church or adherence thereto
974,catholicism,same as catholicity and
975,catholicism,adherence to the roman catholic church the roman catholic faith as a convert to catholicism
976,catholicism,the beliefs and practices of a catholic church
977,catholicism,catholicism often means the roman catholic church
978,catholicism,sometimes it also refers to the eastern orthodox churches or other churches that believe in the great lists of christian beliefs called creeds lrb from the latin word credo meaning i believe rrb such as the anglican church
979,catholicism,the word catholic means everywhere or universal lrb belief that the church is one big family rrb
980,phenylpropanolamine,an adrenergic drug that acts as a vasoconstrictor and is used as a nasal decongestant bronchodilator appetite suppressant and mild stimulant
981,phenylpropanolamine,an adrenergic drug use to relieve allergic reactions to treat respiratory infections and to suppress the appetite
982,phenylpropanolamine,an adrenergic drug used in many preparations to relieve allergic reactions or respiratory infections
983,phenylpropanolamine,an adrenergic drug used in many preparations to relieve allergic reactions or respiratory infections
984,euclidean,relating to geometry as developed by euclid
985,physiologically,in a physiological manner.
986,frightened,to fill with fear alarm
987,frightened,to drive or force by arousing fear the suspect was frightened into confessing
988,frightened,to become afraid
989,frightened,to disturb with fear to throw into a state of alarm or fright to affright to terrify
990,frightened,to disturb with fear to throw into a state of alarm or fright to affright to terrify
991,frightened,to strike with fright terrify scare dismay
992,frightened,strong synonyms strong to affright dismay daunt appal intimidate
993,frightened,cause fear in
994,frightened,drive out by frightening
995,frightened,made afraid
996,outwear,exhaust or get tired through overuse or great strain or stress
998,pentoic,pertaining to  or desingating an acid (called also valeric acid) derived from pentane.
999,low-lying,having a small elevation above the ground or horizon or sea level
1000,extruded,of extrude
